raterId,handId,styleCode,perceived_length,perceived_slenderness,perceived_palm_width,perceived_softness,hand_fit,skin_tone,style_match,scene_fit,aesthetic,overallScore
demo_rater_038,demo_hand_0001,nail_01,69.5418939383094,74.26734736102844,19.583824811938882,58.25897913785949,78.80584588678197,72.60640023212217,78.38069425471369,86.49795838352064,72.81942312061591,77.12663284240166
demo_rater_034,demo_hand_0001,nail_01,64.65524552257037,72.6831879280434,13.276667751658035,62.80763286290774,79.57634452464922,71.86235535720394,66.96050458284724,89.68411839519979,71.18564108263554,74.92514846664835
demo_rater_014,demo_hand_0001,nail_01,62.87965326687772,66.53480217322911,30.963430092748776,53.758024988697294,81.89056518575144,70.00665205973668,71.00135293793019,85.33187662777868,76.57363450407978,76.25727612446877
demo_rater_042,demo_hand_0001,nail_01,66.91898600052619,70.53981166982065,19.65148013712524,52.05093667760926,82.5252913831412,79.43967833504695,79.68696907266244,89.42912117584467,83.36300994759824,84.1168571955231
demo_rater_022,demo_hand_0001,nail_01,61.472909674316135,61.43468788427434,16.478457872471107,59.41099041797521,80.44712143730365,72.01924614035524,70.77320135467897,84.60273921559235,73.79954968942192,73.10928758651394
demo_rater_030,demo_hand_0001,nail_01,59.5101023239391,66.78932071510314,14.174819653826514,55.41399474135238,96.60796236917353,83.99687950748645,85.78092408814042,85.54089198762216,76.6557047700525,86.1614719146253
demo_rater_048,demo_hand_0001,nail_01,68.43163552251347,72.77184983487813,6.226153402035354,54.89199415063963,81.83757796206301,84.31892605003381,80.3439413769139,89.18876974641324,78.42364235171739,81.18928730262571
demo_rater_044,demo_hand_0001,nail_02,66.3574780801723,71.73729252513687,23.869690282454588,64.80793753960862,89.13304883070036,78.39518851862128,79.18119330445944,85.45999197035565,81.659127783308,85.37631774264175
demo_rater_043,demo_hand_0001,nail_02,59.18723513536154,72.04931475532918,13.59605260081268,63.05307721806429,95.02500882471665,75.12403082960843,84.48951873084899,84.20922149688064,85.52746594264006,82.53020463537823
demo_rater_007,demo_hand_0001,nail_02,69.61432175488085,79.19880090556175,19.649145413355413,52.1716848218002,89.03850660241051,82.70215657249175,86.74805194623453,83.04284339796585,84.70228474455371,85.53230205776316
demo_rater_032,demo_hand_0001,nail_02,65.99443091144941,65.88977274218479,18.04626293530584,57.54131826357963,87.8926727921261,82.45988816788024,83.56260037004097,85.33185106264217,76.9030950066279,84.28812427356212
demo_rater_002,demo_hand_0001,nail_02,60.12197899137249,70.56026345368763,11.971536869969686,65.94612119254049,92.05533114143337,83.83973690246397,77.84019713121018,82.99272611181625,77.98217569775336,84.69687569370959
demo_rater_018,demo_hand_0001,nail_02,64.18961345407766,75.5766777187302,14.122682316961853,60.0982165723178,95.78542219119204,84.04817720584836,85.29585838703412,86.39098115398251,86.79258997221504,90.68491111061661
demo_rater_003,demo_hand_0001,nail_02,65.37882957913419,79.27760724265141,18.50899206184676,57.194163432455774,99.32760352383502,97.6551178571061,83.98639695533078,83.65981128586773,95.56033611014217,91.85837074624826
